Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team
"Apr 01, 2017 - LAL @ LAC",L,22:40,14,5,10,50,2,3,66.7,2,3,66.7,1,5,6,2,1,0,2,3,-26,
"Mar 30, 2017 - LAL @ MIN",L,28:50:00,12,5,12,41.7,1,3,33.3,1,1,100,6,7,13,1,0,1,3,5,-8,
"Mar 28, 2017 - LAL vs. WAS",L,32:01:00,6,2,7,28.6,0,1,0,2,2,100,0,6,6,5,0,1,3,2,-4,
"Mar 26, 2017 - LAL vs. POR",L,27:03:00,4,2,7,28.6,0,0,0,0,0,0,0,9,9,2,1,1,2,3,-21,
"Mar 24, 2017 - LAL vs. MIN",W,34:18:00,23,8,14,57.1,2,4,50,5,6,83.3,3,9,12,3,1,2,4,4,11,
"Mar 21, 2017 - LAL vs. LAC",L,30:49:00,19,7,13,53.8,1,2,50,4,5,80,3,4,7,3,1,1,1,3,-3,
"Mar 19, 2017 - LAL vs. CLE",L,37:56:00,10,3,9,33.3,1,3,33.3,3,4,75,2,5,7,7,0,0,1,5,-5,
"Mar 17, 2017 - LAL vs. MIL",L,32:20:00,4,1,6,16.7,0,1,0,2,4,50,5,7,12,8,0,1,5,2,-7,
"Mar 15, 2017 - LAL @ HOU",L,29:28:00,32,13,17,76.5,0,1,0,6,9,66.7,3,5,8,2,0,0,2,4,-20,
"Mar 13, 2017 - LAL @ DEN",L,23:53,7,3,8,37.5,1,2,50,0,0,0,2,6,8,2,0,1,2,2,-20,
"Mar 12, 2017 - LAL vs. PHI",L,34:26:00,21,8,18,44.4,0,3,0,5,6,83.3,2,10,12,3,0,2,3,5,-11,
"Mar 09, 2017 - LAL @ PHX",W,32:18:00,13,5,11,45.5,2,3,66.7,1,2,50,4,4,8,4,1,1,2,3,-4,
"Mar 07, 2017 - LAL @ DAL",L,35:25:00,13,3,8,37.5,0,0,0,7,8,87.5,4,14,18,10,1,0,3,4,-15,
"Mar 05, 2017 - LAL vs. NOP",L,32:42:00,5,2,7,28.6,0,0,0,1,2,50,2,10,12,6,1,0,2,5,-8,
"Mar 03, 2017 - LAL vs. BOS",L,29:07:00,13,5,13,38.5,0,0,0,3,3,100,1,6,7,3,0,0,1,2,-31,
